,en
FEMTO,Femto
MEGA,Mega
MACRO,Macro
ORANGE,Orange
GALACTIC,Galactic
GLOBAL,Global
CYBER,Cyber
CRYPTO,Crypto
MECH,Mech
MED,Med
FIN,Fin
NEO,Neo
BANK,Bank
CORP,"Corp."
CORPORATION,Corporation
INC,"Inc."
SYNDICATE,Syndicate
SYS,Sys
SYSTEMS,Systems
SOFT,Soft
TECH,Tech
GROUP,Group
COMPANY,Company
MANUFACTORY,Manufactory
WORKS,Works
ABSOLUTE,Absoulte
PURE,Pure
HOLY,Holy
TRUE,True
IRON,Iron
BLOOD,Blood
ORDER,Order
CONFRATERNITY,Confraternity
BROTHERHOOD,Brotherhood
CULT,Cult
SECT,Sect
CHURCH,Church
PURITY,Purity
TRANSCENDENCE,Transcendence
SINGULARITY,Singularity
NATURE,Nature
CRYPTOGRAPHY,Cryptography
HUMAN_RIGHTS,Human Rights
AI_RIGHTS,AI Rights
HEALTH,Health
CHARITY,Charity
ANTI_CORRUPTION,Anti-Corruption
ORGANIZATION,Organization
FRONTIER,Frontier
AID,Aid
FOUNDATION,Foundation
SUPPLY,Supply
POLICE,Police
SPECIAL_FORCES,Special Forces
PARLIAMENT,Parliament
MILITARY,Military
ADMINISTRATION,Administration
COURT,Court
FREEDOM,Freedom
CHAOS,Chaos
JUSTICE,Justice
LIBERATION,Liberation
ASSASSINATION,Assassination
RESISTANCE,Resistance
TERRORISTS,Terrorists
GOD,God
BLOODSHED,Bloodshed
ADMINISTRATION,Administation
HEADQUARTERS,Headquarters
MANAGEMENT,Management
REASEARCH,Research
FINANCES,Finances
SERVER,Server
ARCHIVE,Archive
IT_SYSTEMS,IT Systems
DATA_STORAGE,Data Storage
SERVER_ARCHITECTURE,Server Architecture
MAIL_SERVERS,Mail Servers
PRODUCTION,Production
HOTLINE,Hotline
CHURCH,Church
AI_HIVE,AI Hive
DEFENCE,Defence
ARMORY,Armory
FINANCIAL_SERVICES,Financial Services
ONLINE_BANKING,Online Banking
DIGITAL_TRANSFORMATIONS,Digital Transformations
RE_EDUCATION_CAMP,Re-education Camp
CYBER_RIGHTS,Cyber Rights
CYBER_SECURITY,Cyber Security
AI_FRONTIER,AI Frontier
AI_FREEDOM_FIGHTERS,AI Freedom Fighters
CYBER_CONTROL,Cyber Control
CYBER_OPPRESSION,Cyber Oppression
CYBER_DEPARTMENT,Cyber Department
LEAGUE,League

